instant,dateday,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,count,windspeed_category
2407,2011-04-15,Summer,2011,April,4,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,15.58,19.695,82.0,6.0032,0,3,3,Low Wind
2408,2011-04-15,Summer,2011,April,5,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,14.76,18.18,81.0,7.0015,2,11,13,Low Wind
2409,2011-04-15,Summer,2011,April,6,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,14.76,18.18,81.0,6.0032,5,42,47,Low Wind
2410,2011-04-15,Summer,2011,April,7,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,71.0,11.0014,10,139,149,Low Wind
2411,2011-04-15,Summer,2011,April,8,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,18.04,21.97,62.0,19.999499999999998,21,279,300,Medium Wind
2412,2011-04-15,Summer,2011,April,9,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,20.5,24.240000000000002,55.00000000000001,12.998000000000001,16,162,178,Low Wind
2413,2011-04-15,Summer,2011,April,10,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,20.5,24.240000000000002,55.00000000000001,12.998000000000001,31,91,122,Low Wind
2414,2011-04-15,Summer,2011,April,11,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,21.32,25.0,55.00000000000001,12.998000000000001,41,95,136,Low Wind
2415,2011-04-15,Summer,2011,April,12,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,21.32,25.0,55.00000000000001,19.0012,45,155,200,Medium Wind
2416,2011-04-15,Summer,2011,April,13,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,22.14,25.759999999999998,52.0,16.997899999999998,47,133,180,Medium Wind
2417,2011-04-15,Summer,2011,April,14,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,22.14,25.759999999999998,52.0,16.997899999999998,57,106,163,Medium Wind
2418,2011-04-15,Summer,2011,April,15,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,22.14,25.759999999999998,52.0,30.002599999999997,50,112,162,High Wind
2419,2011-04-15,Summer,2011,April,16,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,21.32,25.0,55.00000000000001,32.9975,70,173,243,High Wind
2420,2011-04-15,Summer,2011,April,17,Holiday,Friday,Weekend/Holiday,Misty/Cloudy,20.5,24.240000000000002,63.0,26.0027,64,267,331,Medium Wind
2421,2011-04-15,Summer,2011,April,18,Holiday,Friday,Weekend/Holiday,Misty/Cloudy,18.86,22.725,67.0,26.0027,47,216,263,Medium Wind
2422,2011-04-15,Summer,2011,April,19,Holiday,Friday,Weekend/Holiday,Clear/Partly Cloudy,17.22,21.21,77.0,26.0027,41,168,209,Medium Wind
2423,2011-04-15,Summer,2011,April,20,Holiday,Friday,Weekend/Holiday,Misty/Cloudy,16.400000000000002,20.455000000000002,76.0,22.0028,26,92,118,Medium Wind
2424,2011-04-15,Summer,2011,April,21,Holiday,Friday,Weekend/Holiday,Misty/Cloudy,16.400000000000002,20.455000000000002,76.0,19.999499999999998,25,77,102,Medium Wind
2425,2011-04-15,Summer,2011,April,22,Holiday,Friday,Weekend/Holiday,Misty/Cloudy,15.58,19.695,82.0,26.0027,16,64,80,Medium Wind
2426,2011-04-15,Summer,2011,April,23,Holiday,Friday,Weekend/Holiday,Misty/Cloudy,14.76,17.424999999999997,81.0,12.998000000000001,8,56,64,Low Wind
2427,2011-04-16,Summer,2011,April,0,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,14.76,17.424999999999997,81.0,15.001299999999999,7,36,43,Medium Wind
2428,2011-04-16,Summer,2011,April,1,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,14.76,16.665,87.0,19.0012,5,28,33,Medium Wind
2429,2011-04-16,Summer,2011,April,2,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,14.76,17.424999999999997,87.0,8.9981,5,19,24,Low Wind
2430,2011-04-16,Summer,2011,April,3,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,14.76,17.424999999999997,87.0,11.0014,5,9,14,Low Wind
2431,2011-04-16,Summer,2011,April,4,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,14.76,17.424999999999997,87.0,15.001299999999999,1,4,5,Medium Wind
2432,2011-04-16,Summer,2011,April,5,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,15.58,19.695,87.0,19.0012,1,3,4,Medium Wind
2433,2011-04-16,Summer,2011,April,6,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,16.400000000000002,20.455000000000002,82.0,22.0028,1,9,10,Medium Wind
2434,2011-04-16,Summer,2011,April,7,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,16.400000000000002,20.455000000000002,82.0,27.999299999999998,3,18,21,Medium Wind
2435,2011-04-16,Summer,2011,April,8,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,16.400000000000002,20.455000000000002,87.0,23.9994,7,38,45,Medium Wind
2436,2011-04-16,Summer,2011,April,9,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,16.400000000000002,20.455000000000002,100.0,19.999499999999998,2,27,29,Medium Wind
2437,2011-04-16,Summer,2011,April,10,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,17.22,21.21,94.0,26.0027,1,21,22,Medium Wind
2438,2011-04-16,Summer,2011,April,11,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,17.22,21.21,94.0,30.002599999999997,4,27,31,High Wind
2439,2011-04-16,Summer,2011,April,12,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,18.86,22.725,88.0,39.000699999999995,6,26,32,High Wind
2440,2011-04-16,Summer,2011,April,13,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,18.86,22.725,94.0,35.0008,9,49,58,High Wind
2441,2011-04-16,Summer,2011,April,14,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,21.32,25.0,83.0,39.000699999999995,14,49,63,High Wind
2442,2011-04-16,Summer,2011,April,15,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,21.32,25.0,83.0,39.000699999999995,16,62,78,High Wind
2443,2011-04-16,Summer,2011,April,16,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,20.5,24.240000000000002,88.0,31.0009,6,27,33,High Wind
2444,2011-04-16,Summer,2011,April,17,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,20.5,24.240000000000002,88.0,39.000699999999995,1,14,15,High Wind
2445,2011-04-16,Summer,2011,April,18,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,20.5,24.240000000000002,94.0,26.0027,6,32,38,Medium Wind
2446,2011-04-16,Summer,2011,April,19,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,21.32,25.0,94.0,27.999299999999998,9,62,71,Medium Wind
2447,2011-04-16,Summer,2011,April,20,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,18.04,21.97,94.0,15.001299999999999,4,49,53,Medium Wind
2448,2011-04-16,Summer,2011,April,21,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,18.04,21.97,94.0,0.0,1,13,14,
2449,2011-04-16,Summer,2011,April,22,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,17.22,21.21,100.0,0.0,2,22,24,
2450,2011-04-16,Summer,2011,April,23,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,18.04,21.97,77.0,19.0012,5,30,35,Medium Wind
2451,2011-04-17,Summer,2011,April,0,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,18.04,21.97,77.0,19.0012,4,29,33,Medium Wind
2452,2011-04-17,Summer,2011,April,1,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,17.22,21.21,67.0,15.001299999999999,6,25,31,Medium Wind
2453,2011-04-17,Summer,2011,April,2,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,62.0,12.998000000000001,4,25,29,Low Wind
2454,2011-04-17,Summer,2011,April,3,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,66.0,8.9981,12,13,25,Low Wind
2455,2011-04-17,Summer,2011,April,4,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,14.76,18.18,76.0,7.0015,2,5,7,Low Wind
2456,2011-04-17,Summer,2011,April,5,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,14.76,17.424999999999997,71.0,11.0014,2,1,3,Low Wind
2457,2011-04-17,Summer,2011,April,6,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,14.76,15.909999999999998,66.0,30.002599999999997,3,5,8,High Wind
2458,2011-04-17,Summer,2011,April,7,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,14.76,16.665,50.0,23.9994,2,14,16,Medium Wind
2459,2011-04-17,Summer,2011,April,8,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,15.58,19.695,46.0,26.0027,7,36,43,Medium Wind
2460,2011-04-17,Summer,2011,April,9,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,43.0,19.0012,31,71,102,Medium Wind
2461,2011-04-17,Summer,2011,April,10,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,17.22,21.21,44.0,30.002599999999997,91,120,211,High Wind
2462,2011-04-17,Summer,2011,April,11,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,18.86,22.725,41.0,27.999299999999998,119,185,304,Medium Wind
2463,2011-04-17,Summer,2011,April,12,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,18.86,22.725,38.0,26.0027,167,187,354,Medium Wind
2464,2011-04-17,Summer,2011,April,13,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,20.5,24.240000000000002,34.0,26.0027,181,162,343,Medium Wind
2465,2011-04-17,Summer,2011,April,14,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,21.32,25.0,34.0,26.0027,170,191,361,Medium Wind
2466,2011-04-17,Summer,2011,April,15,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,22.14,25.759999999999998,32.0,35.0008,179,209,388,High Wind
2467,2011-04-17,Summer,2011,April,16,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,22.14,25.759999999999998,30.0,23.9994,161,182,343,Medium Wind
2468,2011-04-17,Summer,2011,April,17,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,22.96,26.515,30.0,30.002599999999997,143,163,306,High Wind
2469,2011-04-17,Summer,2011,April,18,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,22.96,26.515,30.0,26.0027,102,175,277,Medium Wind
2470,2011-04-17,Summer,2011,April,19,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,22.96,26.515,30.0,19.999499999999998,75,135,210,Medium Wind
2471,2011-04-17,Summer,2011,April,20,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,21.32,25.0,36.0,12.998000000000001,44,97,141,Low Wind
2472,2011-04-17,Summer,2011,April,21,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,20.5,24.240000000000002,42.0,12.998000000000001,13,70,83,Low Wind
2473,2011-04-17,Summer,2011,April,22,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,20.5,24.240000000000002,39.0,7.0015,21,49,70,Low Wind
2474,2011-04-17,Summer,2011,April,23,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,18.04,21.97,67.0,11.0014,19,37,56,Low Wind
2475,2011-04-18,Summer,2011,April,0,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,18.86,22.725,47.0,6.0032,15,24,39,Low Wind
2476,2011-04-18,Summer,2011,April,1,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,18.86,22.725,47.0,8.9981,11,8,19,Low Wind
2477,2011-04-18,Summer,2011,April,2,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,17.22,21.21,67.0,7.0015,14,2,16,Low Wind
2478,2011-04-18,Summer,2011,April,3,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,17.22,21.21,62.0,7.0015,6,1,7,Low Wind
2479,2011-04-18,Summer,2011,April,4,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,87.0,11.0014,2,4,6,Low Wind
2480,2011-04-18,Summer,2011,April,5,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,76.0,6.0032,0,16,16,Low Wind
2481,2011-04-18,Summer,2011,April,6,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,82.0,0.0,3,51,54,
2482,2011-04-18,Summer,2011,April,7,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,18.86,22.725,63.0,0.0,12,156,168,
2483,2011-04-18,Summer,2011,April,8,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,18.86,22.725,63.0,0.0,20,277,297,
2484,2011-04-18,Summer,2011,April,9,Non-Holiday,Monday,Working Day,Misty/Cloudy,20.5,24.240000000000002,55.00000000000001,7.0015,37,132,169,Low Wind
2485,2011-04-18,Summer,2011,April,10,Non-Holiday,Monday,Working Day,Misty/Cloudy,21.32,25.0,55.00000000000001,7.0015,41,68,109,Low Wind
2486,2011-04-18,Summer,2011,April,11,Non-Holiday,Monday,Working Day,Misty/Cloudy,22.14,25.759999999999998,52.0,6.0032,36,87,123,Low Wind
2487,2011-04-18,Summer,2011,April,12,Non-Holiday,Monday,Working Day,Misty/Cloudy,22.96,26.515,49.0,6.0032,60,124,184,Low Wind
2488,2011-04-18,Summer,2011,April,13,Non-Holiday,Monday,Working Day,Misty/Cloudy,22.96,26.515,49.0,11.0014,41,128,169,Low Wind
2489,2011-04-18,Summer,2011,April,14,Non-Holiday,Monday,Working Day,Misty/Cloudy,23.779999999999998,27.275,49.0,12.998000000000001,49,95,144,Low Wind
2490,2011-04-18,Summer,2011,April,15,Non-Holiday,Monday,Working Day,Misty/Cloudy,24.599999999999998,31.06,43.0,12.998000000000001,64,112,176,Low Wind
2491,2011-04-18,Summer,2011,April,16,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,24.599999999999998,31.06,46.0,19.0012,40,165,205,Medium Wind
2492,2011-04-18,Summer,2011,April,17,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,23.779999999999998,27.275,49.0,19.0012,66,362,428,Medium Wind
2493,2011-04-18,Summer,2011,April,18,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,26.240000000000002,31.06,31.0,23.9994,41,321,362,Medium Wind
2494,2011-04-18,Summer,2011,April,19,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,22.96,26.515,46.0,16.997899999999998,42,244,286,Medium Wind
2495,2011-04-18,Summer,2011,April,20,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,24.599999999999998,31.06,33.0,19.999499999999998,29,136,165,Medium Wind
2496,2011-04-18,Summer,2011,April,21,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,22.96,26.515,37.0,19.0012,20,131,151,Medium Wind
2497,2011-04-18,Summer,2011,April,22,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,21.32,25.0,55.00000000000001,19.0012,9,81,90,Medium Wind
2498,2011-04-18,Summer,2011,April,23,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,20.5,24.240000000000002,59.0,16.997899999999998,11,35,46,Medium Wind
2499,2011-04-19,Summer,2011,April,0,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,20.5,24.240000000000002,55.00000000000001,15.001299999999999,2,23,25,Medium Wind
2500,2011-04-19,Summer,2011,April,1,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.86,22.725,63.0,15.001299999999999,5,2,7,Medium Wind
2501,2011-04-19,Summer,2011,April,2,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.86,22.725,67.0,19.0012,8,5,13,Medium Wind
2502,2011-04-19,Summer,2011,April,3,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,19.68,23.485,63.0,15.001299999999999,0,3,3,Medium Wind
2503,2011-04-19,Summer,2011,April,4,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.86,22.725,67.0,6.0032,1,4,5,Low Wind
2504,2011-04-19,Summer,2011,April,5,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,18.86,22.725,72.0,12.998000000000001,1,17,18,Low Wind
2505,2011-04-19,Summer,2011,April,6,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,19.68,23.485,67.0,0.0,2,63,65,
2506,2011-04-19,Summer,2011,April,7,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,21.32,25.0,55.00000000000001,0.0,22,166,188,
2507,2011-04-19,Summer,2011,April,8,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,20.5,24.240000000000002,68.0,8.9981,20,331,351,Low Wind
2508,2011-04-19,Summer,2011,April,9,Non-Holiday,Tuesday,Working Day,Light Precipitation,21.32,25.0,63.0,6.0032,23,139,162,Low Wind
2509,2011-04-19,Summer,2011,April,10,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,20.5,24.240000000000002,72.0,15.001299999999999,15,60,75,Medium Wind
2510,2011-04-19,Summer,2011,April,11,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,22.14,25.759999999999998,68.0,11.0014,19,53,72,Low Wind
2511,2011-04-19,Summer,2011,April,12,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,22.14,25.759999999999998,64.0,6.0032,19,84,103,Low Wind
2512,2011-04-19,Summer,2011,April,13,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,22.14,25.759999999999998,68.0,15.001299999999999,26,103,129,Medium Wind
2513,2011-04-19,Summer,2011,April,14,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,22.14,25.759999999999998,64.0,12.998000000000001,19,88,107,Low Wind
2514,2011-04-19,Summer,2011,April,15,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,22.14,25.759999999999998,65.0,11.0014,44,83,127,Low Wind
2515,2011-04-19,Summer,2011,April,16,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,22.96,26.515,52.0,19.999499999999998,30,162,192,Medium Wind
2516,2011-04-19,Summer,2011,April,17,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,22.96,26.515,60.0,7.0015,39,372,411,Low Wind
2517,2011-04-19,Summer,2011,April,18,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,22.14,25.759999999999998,64.0,8.9981,44,377,421,Low Wind
2518,2011-04-19,Summer,2011,April,19,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,20.5,24.240000000000002,72.0,12.998000000000001,28,248,276,Low Wind
2519,2011-04-19,Summer,2011,April,20,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,20.5,24.240000000000002,72.0,15.001299999999999,20,148,168,Medium Wind
2520,2011-04-19,Summer,2011,April,21,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,20.5,24.240000000000002,72.0,8.9981,8,114,122,Low Wind
2521,2011-04-19,Summer,2011,April,22,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,19.68,23.485,77.0,6.0032,3,109,112,Low Wind
2522,2011-04-19,Summer,2011,April,23,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.86,22.725,88.0,6.0032,11,41,52,Low Wind
2523,2011-04-20,Summer,2011,April,0,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,18.04,21.97,88.0,8.9981,4,29,33,Low Wind
2524,2011-04-20,Summer,2011,April,1,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,17.22,21.21,94.0,11.0014,2,5,7,Low Wind
2525,2011-04-20,Summer,2011,April,2,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,17.22,21.21,94.0,11.0014,0,2,2,Low Wind
2526,2011-04-20,Summer,2011,April,3,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,17.22,21.21,94.0,0.0,0,2,2,
2527,2011-04-20,Summer,2011,April,4,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,100.0,7.0015,5,4,9,Low Wind
2528,2011-04-20,Summer,2011,April,5,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,94.0,12.998000000000001,1,14,15,Low Wind
2529,2011-04-20,Summer,2011,April,6,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,17.22,21.21,94.0,11.0014,2,62,64,Low Wind
2530,2011-04-20,Summer,2011,April,7,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,18.04,21.97,94.0,0.0,26,211,237,
2531,2011-04-20,Summer,2011,April,8,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.419999999999998,30.305,69.0,31.0009,22,374,396,High Wind
2532,2011-04-20,Summer,2011,April,9,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,27.060000000000002,31.06,61.0,19.0012,27,170,197,Medium Wind
2533,2011-04-20,Summer,2011,April,10,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.419999999999998,30.305,69.0,6.0032,45,86,131,Low Wind
2534,2011-04-20,Summer,2011,April,11,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.419999999999998,30.305,69.0,6.0032,31,87,118,Low Wind
2535,2011-04-20,Summer,2011,April,12,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,28.7,32.574999999999996,48.0,26.0027,28,117,145,Medium Wind
2536,2011-04-20,Summer,2011,April,13,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,28.7,32.574999999999996,48.0,26.0027,42,135,177,Medium Wind
2537,2011-04-20,Summer,2011,April,14,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,30.34,32.574999999999996,40.0,31.0009,33,115,148,High Wind
2538,2011-04-20,Summer,2011,April,15,Non-Holiday,Wednesday,Working Day,Misty/Cloudy,31.16,33.335,35.0,23.9994,32,113,145,Medium Wind
2539,2011-04-20,Summer,2011,April,16,Non-Holiday,Wednesday,Working Day,Misty/Cloudy,31.16,33.335,35.0,23.9994,54,201,255,Medium Wind
2540,2011-04-20,Summer,2011,April,17,Non-Holiday,Wednesday,Working Day,Misty/Cloudy,30.34,32.574999999999996,37.0,27.999299999999998,34,398,432,Medium Wind
2541,2011-04-20,Summer,2011,April,18,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,30.34,32.574999999999996,30.0,23.9994,56,385,441,Medium Wind
2542,2011-04-20,Summer,2011,April,19,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,28.7,31.819999999999997,32.0,16.997899999999998,74,309,383,Medium Wind
2543,2011-04-20,Summer,2011,April,20,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,27.880000000000003,31.06,32.0,7.0015,31,194,225,Low Wind
2544,2011-04-20,Summer,2011,April,21,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,27.060000000000002,31.06,36.0,19.0012,38,134,172,Medium Wind
2545,2011-04-20,Summer,2011,April,22,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.419999999999998,31.06,41.0,16.997899999999998,12,105,117,Medium Wind
2546,2011-04-20,Summer,2011,April,23,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,24.599999999999998,31.06,40.0,22.0028,14,79,93,Medium Wind
2547,2011-04-21,Summer,2011,April,0,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,22.96,26.515,43.0,23.9994,11,33,44,Medium Wind
2548,2011-04-21,Summer,2011,April,1,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,21.32,25.0,45.0,15.001299999999999,6,20,26,Medium Wind
2549,2011-04-21,Summer,2011,April,2,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,20.5,24.240000000000002,42.0,26.0027,3,10,13,Medium Wind
2550,2011-04-21,Summer,2011,April,3,Non-Holiday,Thursday,Working Day,Misty/Cloudy,18.86,22.725,51.0,31.0009,4,3,7,High Wind
2551,2011-04-21,Summer,2011,April,4,Non-Holiday,Thursday,Working Day,Misty/Cloudy,18.04,21.97,54.0,30.002599999999997,2,4,6,High Wind
2552,2011-04-21,Summer,2011,April,5,Non-Holiday,Thursday,Working Day,Misty/Cloudy,17.22,21.21,54.0,36.9974,0,14,14,High Wind
2553,2011-04-21,Summer,2011,April,6,Non-Holiday,Thursday,Working Day,Misty/Cloudy,16.400000000000002,20.455000000000002,57.99999999999999,39.000699999999995,2,73,75,High Wind
2554,2011-04-21,Summer,2011,April,7,Non-Holiday,Thursday,Working Day,Misty/Cloudy,17.22,21.21,47.0,31.0009,15,183,198,High Wind
2555,2011-04-21,Summer,2011,April,8,Non-Holiday,Thursday,Working Day,Misty/Cloudy,16.400000000000002,20.455000000000002,50.0,32.9975,19,346,365,High Wind
2556,2011-04-21,Summer,2011,April,9,Non-Holiday,Thursday,Working Day,Misty/Cloudy,17.22,21.21,47.0,19.0012,18,178,196,Medium Wind
2557,2011-04-21,Summer,2011,April,10,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,17.22,21.21,44.0,23.9994,25,73,98,Medium Wind
2558,2011-04-21,Summer,2011,April,11,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.04,21.97,41.0,19.0012,34,99,133,Medium Wind
2559,2011-04-21,Summer,2011,April,12,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.86,22.725,38.0,11.0014,49,150,199,Low Wind
2560,2011-04-21,Summer,2011,April,13,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,19.68,23.485,33.0,22.0028,55,122,177,Medium Wind
2561,2011-04-21,Summer,2011,April,14,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,20.5,24.240000000000002,34.0,26.0027,68,160,228,Medium Wind
2562,2011-04-21,Summer,2011,April,15,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,21.32,25.0,28.999999999999996,27.999299999999998,69,166,235,Medium Wind
2563,2011-04-21,Summer,2011,April,16,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,21.32,25.0,27.0,23.9994,66,228,294,Medium Wind
2564,2011-04-21,Summer,2011,April,17,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,20.5,24.240000000000002,28.999999999999996,11.0014,79,402,481,Low Wind
2565,2011-04-21,Summer,2011,April,18,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,20.5,24.240000000000002,25.0,19.0012,71,381,452,Medium Wind
2566,2011-04-21,Summer,2011,April,19,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.86,22.725,28.000000000000004,19.0012,52,272,324,Medium Wind
2567,2011-04-21,Summer,2011,April,20,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.04,21.97,30.0,8.9981,28,176,204,Low Wind
2568,2011-04-21,Summer,2011,April,21,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,17.22,21.21,47.0,12.998000000000001,25,159,184,Low Wind
2569,2011-04-21,Summer,2011,April,22,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,17.22,21.21,38.0,6.0032,31,106,137,Low Wind
